0,13428,148759,0.9
0,13287,124757,0.9
0,13487,125880,0.9
0,13218,154502,0.91
0,13100,120399,0.91
0,13233,112847,0.91
0,13496,123911,0.92
0,12847,119199,0.92
0,13217,108438,0.92
0,13119,146578,0.93
0,13301,121807,0.93
0,12671,109166,0.93
0,12892,146424,0.94
0,12655,115951,0.94
0,12800,104929,0.94
0,13813,127236,0.95
0,12752,123179,0.95
0,12282,109246,0.95
0,12901,141767,0.96
0,12849,125943,0.96
0,12222,95441,0.96
0,13285,59880,0.97
0,12610,59476,0.97
0,12293,56628,0.97
0,13143,60152,0.98
0,12374,59731,0.98
0,12502,35312,0.98
0,13059,9464,0.99
0,12599,3393,0.99
0,12191,942,0.99
0,13013,15797,1
0,12488,15797,1
0,12445,15797,1
0,13014,15797,1.01
0,12560,15797,1.01
0,12321,15797,1.01
