0,13498,556895
0,13385,193112,-1
0,12936,163192,-1
0,12557,152933,-1
0,12459,155606,-1
0,12390,172708,-1
0,12101,151883,-1
0,12319,155729,-1
0,12195,131036,-1
0,12271,97594,-1
0,12164,112254,-1
0,12006,15797,-1
0,11824,15797,-1
