0,13509,471666,0
0,13492,467335,0
0,14053,440139,0
0,13434,425274,0.1
0,13191,420804,0.1
0,13566,408410,0.1
0,13669,399955,0.2
0,13300,395340,0.2
0,13688,383701,0.2
0,13367,380162,0.3
0,13028,375730,0.3
0,12964,366588,0.3
0,13056,327391,0.4
0,12609,314589,0.4
0,12914,290451,0.4
0,13425,266018,0.5
0,13191,258939,0.5
0,12540,251700,0.5
0,13179,255397,0.6
0,12530,252799,0.6
0,12635,240665,0.6
0,13203,185943,0.7
0,12699,177263,0.7
0,12917,161876,0.7
0,13620,133586,0.8
0,12702,131948,0.8
0,12667,130180,0.8
0,13294,94874,0.9
0,12729,92937,0.9
0,12731,89652,0.9
0,13169,9015,1
0,12714,9015,1
0,12209,9015,1
